"common_name","sci_name","code","det_project","det_1_winter","det_2_spring","abundance_mean","nombre_comun_MX"
"Northern Rough-winged Swallow","Stelgidopteryx serripennis","NRWS",55,14,41,0.0446491228070175,"Golondrina Alas Aserradas"
"Northern Shoveler","Spatula clypeata","NSHO",41,28,13,0.121491228070175,"Pato Cucharón Norteño"
"Orange-crowned Warbler","Leiothlypis celata","OCWA",119,71,48,0.0360964912280702,"Chipe Oliváceo"
"Osprey","Pandion haliaetus","OSPR",29,19,10,0.00745614035087719,"Águila Pescadora"
"Peregrine Falcon","Falco peregrinus","PEFA",21,17,4,0.00482456140350877,"Halcón Peregrino"
"Phainopepla","Phainopepla nitens","PHAI",194,127,67,0.0668311403508772,"Capulinero Negro"
"Pied-billed Grebe","Podilymbus podiceps","PBGR",13,8,5,0.00570175438596491,"Zambullidor Pico Grueso"
"Plumbeous Vireo","Vireo plumbeus","PLVI",3,0,3,0.000657894736842105,"Vireo Plomizo"
"Red-tailed Hawk","Buteo jamaicensis","RTHA",399,277,122,0.109100877192982,"Aguililla Cola Roja"
"Red-winged Blackbird","Agelaius phoeniceus","RWBL",237,48,189,0.475986842105263,"Tordo Sargento"
"Ring-necked Duck","Aythya collaris","RNDU",43,39,4,0.111622807017544,"Pato Pico Anillado"
"Rock Pigeon","Columba livia","ROPI",496,240,256,0.480975877192982,"Paloma Doméstica"
"Rock Wren","Salpinctes obsoletus","ROWR",84,55,29,0.0281798245614035,"Saltapared de Rocas"
"Rosy-faced Lovebird","Agapornis roseicollis","RFLO",26,12,14,0.00899122807017544,"Periquito de Namibia"
"Ruby-crowned Kinglet","Corthylio calendula","RCKI",245,230,15,0.0710745614035087,"Reyezuelo Matraquita"
"Ruddy Duck","Oxyura jamaicensis","RUDU",13,11,2,0.0111842105263158,"Pato Tepalcate"
"Rufous-crowned Sparrow","Aimophila ruficeps","RCSP",3,1,2,0.000657894736842105,"Zacatonero Corona Canela"
"Savannah Sparrow","Passerculus sandwichensis","SAVS",14,8,6,0.0155701754385965,"Gorrión Sabanero"
"Say's Phoebe","Sayornis saya","SAPH",203,129,74,0.0546052631578947,"Papamoscas Llanero"
"Sharp-shinned Hawk","Accipiter striatus","SSHA",45,37,8,0.0103070175438596,"Gavilán Pecho Canela"
"Snowy Egret","Egretta thula","SNEG",95,46,49,0.102576754385965,"Garza Dedos Dorados"
"Song Sparrow","Melospiza melodia","SOSP",228,100,128,0.100570175438596,"Gorrión Cantor"
"Spotted Sandpiper","Actitis macularius","SPSA",13,7,6,0.00307017543859649,"Playero Alzacolita"
"Spotted Towhee","Pipilo maculatus","SPTO",8,4,4,0.00241228070175439,"Rascador Moteado"
"Townsend's Warbler","Setophaga townsendi","TOWA",5,0,5,0.00114035087719298,"Chipe de Townsend"
"Turkey Vulture","Cathartes aura","TUVU",164,33,131,0.0827850877192983,"Zopilote Aura"
"Verdin","Auriparus flaviceps","VERD",1774,857,917,0.611359649122807,"Baloncillo"
"Vermilion Flycatcher","Pyrocephalus rubinus","VEFL",17,8,9,0.00460526315789474,"Papamoscas Cardenalito"
"Vesper Sparrow","Pooecetes gramineus","VESP",10,7,3,0.0135964912280702,"Gorrión Cola Blanca"
"Virginia's Warbler","Leiothlypis virginiae","VIWA",3,0,3,0.000657894736842105,"Chipe de Virginia"
"Warbling Vireo","Vireo gilvus","WAVI",4,0,4,0.00109649122807017,"Vireo Gorjeador"
"Western Bluebird","Sialia mexicana","WEBL",5,3,2,0.00328947368421052,"Azulejo Garganta Azul"
"Western Flycatcher","Empidonax difficilis","WEFL",4,0,4,0.000877192982456139,"Papamoscas Amarillo Norteño"
"Western Kingbird","Tyrannus verticalis","WEKI",59,1,58,0.0214364035087719,"Tirano Pálido"
"Western Meadowlark","Sturnella neglecta","WEME",33,30,3,0.0342105263157895,"Pradero del Oeste"
"Western Sandpiper","Calidris mauri","WESA",3,1,2,0.00460526315789474,"Playero Occidental"
"Western Tanager","Piranga ludoviciana","WETA",5,0,5,0.00109649122807017,"Piranga Capucha Roja"
"Western Wood-Pewee","Contopus sordidulus","WEWP",11,1,10,0.00342105263157895,"Papamoscas del Oeste"
"White-crowned Sparrow","Zonotrichia leucophrys","WCSP",533,355,178,0.39468201754386,"Gorrión Corona Blanca"
"White-faced Ibis","Plegadis chihi","WFIB",21,11,10,0.470833333333333,"Ibis Ojos Rojos"
"White-winged Dove","Zenaida asiatica","WWDO",372,6,366,0.165274122807018,"Paloma Alas Blancas"
"Wilson's Warbler","Cardellina pusilla","WIWA",84,1,83,0.024078947368421,"Chipe Corona Negra"
"Yellow Warbler","Setophaga petechia","YEWA",95,8,87,0.0333991228070175,"Chipe Amarillo"
"Yellow-breasted Chat","Icteria virens","YBCH",2,0,2,0.00043859649122807,"Chipe Grande"
"Yellow-headed Blackbird","Xanthocephalus xanthocephalus","YHBL",4,0,4,0.00274122807017544,"Tordo Cabeza Amarilla"
"Yellow-rumped Warbler","Setophaga coronata","YRWA",642,480,162,0.349539473684211,"Chipe Rabadilla Amarilla"
"Zone-tailed Hawk","Buteo albonotatus","ZTHA",2,0,2,0.000657894736842105,"Aguililla Aura"
