"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"year[28,12]",-0.0854112061892717,0.791941039821728,-1.64411735173683,-0.613079711660702,-0.0804857597895857,0.443837134512502,1.46643180042313,1.00022138885284,9985,1,0.53945
"year[29,12]",-0.144790033590308,0.755647348283776,-1.64269758162306,-0.652109951721837,-0.141357806248406,0.367262365859821,1.31901617432041,1.00009564284329,18483,1,0.5741
"year[30,12]",-0.0257663733687775,0.824839156293713,-1.65450279523086,-0.580807864638819,-0.0204402231185686,0.529241011049673,1.5790444866092,1.00077896629028,3419,1,0.50935
"year[31,12]",-0.274145546564563,0.572896599534724,-1.40570103476757,-0.663975523664834,-0.269180850576007,0.114409483989859,0.840544035551016,1.00012635859834,22303,1,0.6808
"year[32,12]",-0.152735940083204,0.819154171106423,-1.76949765517723,-0.702212693329758,-0.143748816425304,0.402086305363447,1.43239266794007,1.00006379374407,40000,1,0.569325
"year[33,12]",0.756414409099252,0.679006316299837,-0.586435648722812,0.304380950210175,0.76437479987,1.21379301618637,2.07235416412242,1.00010653722482,27569,1,0.8678
"year[34,12]",-0.105811398962373,0.79134009116778,-1.67223091866477,-0.635469158928514,-0.0997561861350661,0.422153305998173,1.43179917407987,1.00012064306068,17304,1,0.549975
"year[35,12]",-0.0924509427076897,0.822982104364549,-1.72800503200624,-0.639320107595736,-0.0845837168668853,0.462131385012773,1.4973184189629,1.00002672276611,40000,1,0.5421
"year[36,12]",-0.423051667640299,0.608379384607375,-1.59679352456621,-0.835447519235403,-0.431218167885255,-0.0194880077086988,0.790219426582954,1.00042505401607,5622,1,0.75995
"year[37,12]",-0.132555542008074,0.796649196285632,-1.69206019887289,-0.67021757471578,-0.133074997888344,0.407226454191461,1.42073243235066,1.00004443094243,29442,1,0.565525
"year[38,12]",-0.108282850180973,0.78688396741174,-1.6724465816466,-0.634431061640644,-0.10104803586216,0.428916543476011,1.40955866794908,1.00007702094592,23655,1,0.551125
